Id,Label,Class
1,Gerd Wiesler,1
2,Anton Grubitz,1
3,Bruno Hempf,1
4,Udo,1
5,Typewriter Expert,1
6,Stasi Joker,1
7,Nowak,1
8,Prostitute,1
9,Stasi Installer,1
10,Prisoner 227,2
11,Stasi 1,1
12,Stasi 2,1
13,Stasi 3,1
14,Stasi Student,1
15,Stasi Class,1
16,Stasi Guard,1
21,Georg Dreyman,2
22,Christa-Maria Sieland,2
23,Paul Hauser,2
24,Albert Jerska,2
25,Karl Wallner,2
26,Schwalber,2
27,Frau Meinecke,2
28,Elevator Kid,2
29,Soccer Kid 1,2
30,Soccer Kid 2,2
31,Soccer Kid 3,2
32,Christa’s Friend 1,2
33,Christa’s Friend 2,2
34,Party Guest 1,2
35,Party Guest 2,3
36,Party Guest 3,4
